Budget_ID,Project_ID,Project_Name,Cost_Category,Allocated_Budget,Actual_Spent,Remaining_Budget,Budget_Status,Variance_Percent,Last_Updated,Vendor,Purchase_Orders,Committed_Costs,Monthly_Spending,Risk_Level,Notes
B0033,PROJ005,Logistics Hub Warehouse,Site Preparation,960000.0,424751.75,535248.25,Within Budget,-55.76,2025-09-19,Site Preparation Contractor Inc.,7,126804.86,"[{""month"": ""2024-01"", ""amount"": 38360.58}, {""month"": ""2024-01"", ""amount"": 48171.75}, {""month"": ""2024-03"", ""amount"": 30137.04}, {""month"": ""2024-03"", ""amount"": 33828.44}, {""month"": ""2024-04"", ""amount"": 27153.0}, {""month"": ""2024-05"", ""amount"": 56403.19}, {""month"": ""2024-06"", ""amount"": 35366.9}, {""month"": ""2024-07"", ""amount"": 25164.37}, {""month"": ""2024-08"", ""amount"": 52257.9}, {""month"": ""2024-09"", ""amount"": 30235.55}, {""month"": ""2024-10"", ""amount"": 54333.5}, {""month"": ""2024-11"", ""amount"": 35946.63}]",Low,Budget tracking for Site Preparation activities
B0034,PROJ005,Logistics Hub Warehouse,Foundation,1800000.0,1323214.13,476785.87,Within Budget,-26.49,2025-09-19,Foundation Contractor Inc.,22,470509.04,"[{""month"": ""2024-01"", ""amount"": 123766.83}, {""month"": ""2024-01"", ""amount"": 84714.64}, {""month"": ""2024-03"", ""amount"": 69597.59}, {""month"": ""2024-03"", ""amount"": 91851.55}, {""month"": ""2024-04"", ""amount"": 149369.84}, {""month"": ""2024-05"", ""amount"": 188697.49}, {""month"": ""2024-06"", ""amount"": 192239.2}, {""month"": ""2024-07"", ""amount"": 178299.55}, {""month"": ""2024-08"", ""amount"": 61942.71}, {""month"": ""2024-09"", ""amount"": 167129.19}, {""month"": ""2024-10"", ""amount"": 65907.61}, {""month"": ""2024-11"", ""amount"": 194522.9}]",Low,Budget tracking for Foundation activities
B0035,PROJ005,Logistics Hub Warehouse,Structural Steel,2400000.0,2232130.25,167869.75,Near Budget Limit,-6.99,2025-09-19,Structural Steel Contractor Inc.,20,252564.79,"[{""month"": ""2024-01"", ""amount"": 293592.79}, {""month"": ""2024-01"", ""amount"": 305189.56}, {""month"": ""2024-03"", ""amount"": 122299.48}, {""month"": ""2024-03"", ""amount"": 108803.85}, {""month"": ""2024-04"", ""amount"": 250819.4}, {""month"": ""2024-05"", ""amount"": 147148.61}, {""month"": ""2024-06"", ""amount"": 132851.82}, {""month"": ""2024-07"", ""amount"": 189046.48}, {""month"": ""2024-08"", ""amount"": 209330.09}, {""month"": ""2024-09"", ""amount"": 219586.89}, {""month"": ""2024-10"", ""amount"": 232464.76}, {""month"": ""2024-11"", ""amount"": 295960.97}]",Low,Budget tracking for Structural Steel activities
B0036,PROJ005,Logistics Hub Warehouse,Concrete,1440000.0,1160455.16,279544.84,Within Budget,-19.41,2025-09-19,Concrete Contractor Inc.,23,392366.87,"[{""month"": ""2024-01"", ""amount"": 134911.56}, {""month"": ""2024-01"", ""amount"": 69811.07}, {""month"": ""2024-03"", ""amount"": 49275.59}, {""month"": ""2024-03"", ""amount"": 83709.24}, {""month"": ""2024-04"", ""amount"": 119446.69}, {""month"": ""2024-05"", ""amount"": 151054.42}, {""month"": ""2024-06"", ""amount"": 111530.52}, {""month"": ""2024-07"", ""amount"": 167460.01}, {""month"": ""2024-08"", ""amount"": 82541.72}, {""month"": ""2024-09"", ""amount"": 80576.58}, {""month"": ""2024-10"", ""amount"": 134261.66}, {""month"": ""2024-11"", ""amount"": 129239.38}]",Medium,Budget tracking for Concrete activities
B0037,PROJ005,Logistics Hub Warehouse,MEP Systems,3000000.0,2991222.77,8777.23,Near Budget Limit,-0.29,2025-09-19,MEP Systems Contractor Inc.,12,410257.32,"[{""month"": ""2024-01"", ""amount"": 252731.46}, {""month"": ""2024-01"", ""amount"": 317164.68}, {""month"": ""2024-03"", ""amount"": 170320.84}, {""month"": ""2024-03"", ""amount"": 361982.01}, {""month"": ""2024-04"", ""amount"": 163123.92}, {""month"": ""2024-05"", ""amount"": 308463.09}, {""month"": ""2024-06"", ""amount"": 330361.46}, {""month"": ""2024-07"", ""amount"": 422607.39}, {""month"": ""2024-08"", ""amount"": 175365.76}, {""month"": ""2024-09"", ""amount"": 336799.4}, {""month"": ""2024-10"", ""amount"": 258920.72}, {""month"": ""2024-11"", ""amount"": 419075.31}]",Medium,Budget tracking for MEP Systems activities
B0038,PROJ005,Logistics Hub Warehouse,Interior Finishes,1440000.0,1067301.76,372698.24,Within Budget,-25.88,2025-09-19,Interior Finishes Contractor Inc.,11,413267.27,"[{""month"": ""2024-01"", ""amount"": 49958.74}, {""month"": ""2024-01"", ""amount"": 50052.19}, {""month"": ""2024-03"", ""amount"": 130841.88}, {""month"": ""2024-03"", ""amount"": 68479.17}, {""month"": ""2024-04"", ""amount"": 116552.85}, {""month"": ""2024-05"", ""amount"": 104393.87}, {""month"": ""2024-06"", ""amount"": 81705.08}, {""month"": ""2024-07"", ""amount"": 51791.21}, {""month"": ""2024-08"", ""amount"": 108077.82}, {""month"": ""2024-09"", ""amount"": 137411.3}, {""month"": ""2024-10"", ""amount"": 82765.42}, {""month"": ""2024-11"", ""amount"": 116638.79}]",Medium,Budget tracking for Interior Finishes activities
B0039,PROJ005,Logistics Hub Warehouse,Exterior Finishes,600000.0,429320.81,170679.19,Within Budget,-28.45,2025-09-19,Exterior Finishes Contractor Inc.,11,90493.49,"[{""month"": ""2024-01"", ""amount"": 32582.42}, {""month"": ""2024-01"", ""amount"": 51232.47}, {""month"": ""2024-03"", ""amount"": 43642.8}, {""month"": ""2024-03"", ""amount"": 30135.49}, {""month"": ""2024-04"", ""amount"": 28875.67}, {""month"": ""2024-05"", ""amount"": 44339.85}, {""month"": ""2024-06"", ""amount"": 38304.24}, {""month"": ""2024-07"", ""amount"": 52745.49}, {""month"": ""2024-08"", ""amount"": 42372.98}, {""month"": ""2024-09"", ""amount"": 43124.58}, {""month"": ""2024-10"", ""amount"": 50601.36}, {""month"": ""2024-11"", ""amount"": 33581.86}]",High,Budget tracking for Exterior Finishes activities
B0040,PROJ005,Logistics Hub Warehouse,Equipment,360000.0,213346.21,146653.79,Within Budget,-40.74,2025-09-19,Equipment Contractor Inc.,16,50940.77,"[{""month"": ""2024-01"", ""amount"": 23364.8}, {""month"": ""2024-01"", ""amount"": 22744.67}, {""month"": ""2024-03"", ""amount"": 27036.17}, {""month"": ""2024-03"", ""amount"": 29258.99}, {""month"": ""2024-04"", ""amount"": 18143.6}, {""month"": ""2024-05"", ""amount"": 22723.84}, {""month"": ""2024-06"", ""amount"": 13523.8}, {""month"": ""2024-07"", ""amount"": 14215.88}, {""month"": ""2024-08"", ""amount"": 12490.04}, {""month"": ""2024-09"", ""amount"": 13047.95}, {""month"": ""2024-10"", ""amount"": 22918.77}, {""month"": ""2024-11"", ""amount"": 15480.5}]",High,Budget tracking for Equipment activities
B0041,PROJ006,University Science Center,Site Preparation,2240000.0,1733816.51,506183.49,Within Budget,-22.6,2025-09-19,Site Preparation Contractor Inc.,13,562893.2,"[{""month"": ""2024-01"", ""amount"": 247887.02}, {""month"": ""2024-01"", ""amount"": 169905.13}, {""month"": ""2024-03"", ""amount"": 243776.82}, {""month"": ""2024-03"", ""amount"": 108338.45}, {""month"": ""2024-04"", ""amount"": 166344.83}, {""month"": ""2024-05"", ""amount"": 194208.18}, {""month"": ""2024-06"", ""amount"": 124363.02}, {""month"": ""2024-07"", ""amount"": 166563.81}, {""month"": ""2024-08"", ""amount"": 81924.04}, {""month"": ""2024-09"", ""amount"": 260033.34}, {""month"": ""2024-10"", ""amount"": 91926.77}, {""month"": ""2024-11"", ""amount"": 150270.95}]",Medium,Budget tracking for Site Preparation activities
B0042,PROJ006,University Science Center,Foundation,4200000.0,3014812.86,1185187.14,Within Budget,-28.22,2025-09-19,Foundation Contractor Inc.,13,1138451.46,"[{""month"": ""2024-01"", ""amount"": 445535.77}, {""month"": ""2024-01"", ""amount"": 272923.02}, {""month"": ""2024-03"", ""amount"": 241961.8}, {""month"": ""2024-03"", ""amount"": 290888.84}, {""month"": ""2024-04"", ""amount"": 192615.79}, {""month"": ""2024-05"", ""amount"": 345317.54}, {""month"": ""2024-06"", ""amount"": 196668.51}, {""month"": ""2024-07"", ""amount"": 345995.6}, {""month"": ""2024-08"", ""amount"": 425992.25}, {""month"": ""2024-09"", ""amount"": 129628.07}, {""month"": ""2024-10"", ""amount"": 191833.11}, {""month"": ""2024-11"", ""amount"": 130116.35}]",High,Budget tracking for Foundation activities
B0043,PROJ006,University Science Center,Structural Steel,5600000.0,5104273.81,495726.19,Near Budget Limit,-8.85,2025-09-19,Structural Steel Contractor Inc.,23,1062553.35,"[{""month"": ""2024-01"", ""amount"": 564412.49}, {""month"": ""2024-01"", ""amount"": 373891.79}, {""month"": ""2024-03"", ""amount"": 240878.5}, {""month"": ""2024-03"", ""amount"": 220003.45}, {""month"": ""2024-04"", ""amount"": 610149.3}, {""month"": ""2024-05"", ""amount"": 318299.32}, {""month"": ""2024-06"", ""amount"": 419176.45}, {""month"": ""2024-07"", ""amount"": 688959.53}, {""month"": ""2024-08"", ""amount"": 467604.3}, {""month"": ""2024-09"", ""amount"": 748250.5}, {""month"": ""2024-10"", ""amount"": 386054.3}, {""month"": ""2024-11"", ""amount"": 299397.72}]",Medium,Budget tracking for Structural Steel activities
B0044,PROJ006,University Science Center,Concrete,3360000.0,3334699.18,25300.82,Near Budget Limit,-0.75,2025-09-19,Concrete Contractor Inc.,17,744125.34,"[{""month"": ""2024-01"", ""amount"": 477605.62}, {""month"": ""2024-01"", ""amount"": 276772.47}, {""month"": ""2024-03"", ""amount"": 337328.91}, {""month"": ""2024-03"", ""amount"": 323596.81}, {""month"": ""2024-04"", ""amount"": 398742.2}, {""month"": ""2024-05"", ""amount"": 223528.87}, {""month"": ""2024-06"", ""amount"": 322205.06}, {""month"": ""2024-07"", ""amount"": 275015.16}, {""month"": ""2024-08"", ""amount"": 298775.6}, {""month"": ""2024-09"", ""amount"": 159937.84}, {""month"": ""2024-10"", ""amount"": 322676.35}, {""month"": ""2024-11"", ""amount"": 499317.14}]",Medium,Budget tracking for Concrete activities
B0045,PROJ006,University Science Center,MEP Systems,7000000.0,2840702.02,4159297.98,Within Budget,-59.42,2025-09-19,MEP Systems Contractor Inc.,19,1772938.7,"[{""month"": ""2024-01"", ""amount"": 383521.07}, {""month"": ""2024-01"", ""amount"": 242307.21}, {""month"": ""2024-03"", ""amount"": 367633.09}, {""month"": ""2024-03"", ""amount"": 313405.66}, {""month"": ""2024-04"", ""amount"": 142703.8}, {""month"": ""2024-05"", ""amount"": 191938.14}, {""month"": ""2024-06"", ""amount"": 311208.52}, {""month"": ""2024-07"", ""amount"": 320746.68}, {""month"": ""2024-08"", ""amount"": 371170.37}, {""month"": ""2024-09"", ""amount"": 118547.91}, {""month"": ""2024-10"", ""amount"": 267852.43}, {""month"": ""2024-11"", ""amount"": 402444.54}]",Medium,Budget tracking for MEP Systems activities
B0046,PROJ006,University Science Center,Interior Finishes,3360000.0,2837296.06,522703.94,Within Budget,-15.56,2025-09-19,Interior Finishes Contractor Inc.,21,856582.61,"[{""month"": ""2024-01"", ""amount"": 276950.5}, {""month"": ""2024-01"", ""amount"": 277960.35}, {""month"": ""2024-03"", ""amount"": 217588.35}, {""month"": ""2024-03"", ""amount"": 124642.53}, {""month"": ""2024-04"", ""amount"": 141986.78}, {""month"": ""2024-05"", ""amount"": 290182.31}, {""month"": ""2024-06"", ""amount"": 211932.64}, {""month"": ""2024-07"", ""amount"": 123623.09}, {""month"": ""2024-08"", ""amount"": 171377.99}, {""month"": ""2024-09"", ""amount"": 250186.05}, {""month"": ""2024-10"", ""amount"": 399286.76}, {""month"": ""2024-11"", ""amount"": 408968.08}]",Medium,Budget tracking for Interior Finishes activities
B0047,PROJ006,University Science Center,Exterior Finishes,1400000.0,517370.92,882629.08,Within Budget,-63.04,2025-09-19,Exterior Finishes Contractor Inc.,10,220735.49,"[{""month"": ""2024-01"", ""amount"": 66837.53}, {""month"": ""2024-01"", ""amount"": 57417.81}, {""month"": ""2024-03"", ""amount"": 64792.66}, {""month"": ""2024-03"", ""amount"": 66697.61}, {""month"": ""2024-04"", ""amount"": 49597.6}, {""month"": ""2024-05"", ""amount"": 33184.71}, {""month"": ""2024-06"", ""amount"": 40257.43}, {""month"": ""2024-07"", ""amount"": 66794.45}, {""month"": ""2024-08"", ""amount"": 40387.36}, {""month"": ""2024-09"", ""amount"": 42212.65}, {""month"": ""2024-10"", ""amount"": 60359.48}, {""month"": ""2024-11"", ""amount"": 65911.33}]",Medium,Budget tracking for Exterior Finishes activities
B0048,PROJ006,University Science Center,Equipment,840000.0,648952.19,191047.81,Within Budget,-22.74,2025-09-19,Equipment Contractor Inc.,12,195735.44,"[{""month"": ""2024-01"", ""amount"": 83504.27}, {""month"": ""2024-01"", ""amount"": 77367.67}, {""month"": ""2024-03"", ""amount"": 44142.09}, {""month"": ""2024-03"", ""amount"": 77723.01}, {""month"": ""2024-04"", ""amount"": 81095.08}, {""month"": ""2024-05"", ""amount"": 44515.53}, {""month"": ""2024-06"", ""amount"": 36490.47}, {""month"": ""2024-07"", ""amount"": 68507.95}, {""month"": ""2024-08"", ""amount"": 77768.38}, {""month"": ""2024-09"", ""amount"": 40460.06}, {""month"": ""2024-10"", ""amount"": 66218.34}, {""month"": ""2024-11"", ""amount"": 29090.73}]",High,Budget tracking for Equipment activities
B0049,PROJ007,Suburban Shopping Plaza,Site Preparation,1200000.0,607984.85,592015.15,Within Budget,-49.33,2025-09-19,Site Preparation Contractor Inc.,24,137567.62,"[{""month"": ""2024-01"", ""amount"": 51464.67}, {""month"": ""2024-01"", ""amount"": 88803.7}, {""month"": ""2024-03"", ""amount"": 57364.15}, {""month"": ""2024-03"", ""amount"": 60704.69}, {""month"": ""2024-04"", ""amount"": 86738.57}, {""month"": ""2024-05"", ""amount"": 56994.61}, {""month"": ""2024-06"", ""amount"": 49074.63}, {""month"": ""2024-07"", ""amount"": 40017.56}, {""month"": ""2024-08"", ""amount"": 56359.47}, {""month"": ""2024-09"", ""amount"": 71003.62}, {""month"": ""2024-10"", ""amount"": 86920.07}, {""month"": ""2024-11"", ""amount"": 55926.83}]",Low,Budget tracking for Site Preparation activities
B0050,PROJ007,Suburban Shopping Plaza,Foundation,2250000.0,1174207.36,1075792.64,Within Budget,-47.81,2025-09-19,Foundation Contractor Inc.,8,624742.38,"[{""month"": ""2024-01"", ""amount"": 124053.7}, {""month"": ""2024-01"", ""amount"": 148617.17}, {""month"": ""2024-03"", ""amount"": 125739.25}, {""month"": ""2024-03"", ""amount"": 64868.51}, {""month"": ""2024-04"", ""amount"": 115357.78}, {""month"": ""2024-05"", ""amount"": 128837.4}, {""month"": ""2024-06"", ""amount"": 64556.71}, {""month"": ""2024-07"", ""amount"": 60207.41}, {""month"": ""2024-08"", ""amount"": 59299.61}, {""month"": ""2024-09"", ""amount"": 99418.96}, {""month"": ""2024-10"", ""amount"": 159415.56}, {""month"": ""2024-11"", ""amount"": 117629.02}]",Medium,Budget tracking for Foundation activities
B0051,PROJ007,Suburban Shopping Plaza,Structural Steel,3000000.0,1024570.96,1975429.04,Within Budget,-65.85,2025-09-19,Structural Steel Contractor Inc.,21,333301.26,"[{""month"": ""2024-01"", ""amount"": 102412.67}, {""month"": ""2024-01"", ""amount"": 80234.17}, {""month"": ""2024-03"", ""amount"": 84798.85}, {""month"": ""2024-03"", ""amount"": 70794.54}, {""month"": ""2024-04"", ""amount"": 61022.13}, {""month"": ""2024-05"", ""amount"": 152468.03}, {""month"": ""2024-06"", ""amount"": 65110.51}, {""month"": ""2024-07"", ""amount"": 106969.57}, {""month"": ""2024-08"", ""amount"": 115592.84}, {""month"": ""2024-09"", ""amount"": 60163.86}, {""month"": ""2024-10"", ""amount"": 141628.58}, {""month"": ""2024-11"", ""amount"": 47802.49}]",Medium,Budget tracking for Structural Steel activities
B0052,PROJ007,Suburban Shopping Plaza,Concrete,1800000.0,1474908.82,325091.18,Within Budget,-18.06,2025-09-19,Concrete Contractor Inc.,15,224598.03,"[{""month"": ""2024-01"", ""amount"": 198606.58}, {""month"": ""2024-01"", ""amount"": 125959.4}, {""month"": ""2024-03"", ""amount"": 192995.81}, {""month"": ""2024-03"", ""amount"": 184953.4}, {""month"": ""2024-04"", ""amount"": 129699.94}, {""month"": ""2024-05"", ""amount"": 107441.97}, {""month"": ""2024-06"", ""amount"": 131774.58}, {""month"": ""2024-07"", ""amount"": 120928.18}, {""month"": ""2024-08"", ""amount"": 152873.39}, {""month"": ""2024-09"", ""amount"": 179762.22}, {""month"": ""2024-10"", ""amount"": 119394.85}, {""month"": ""2024-11"", ""amount"": 103522.06}]",Low,Budget tracking for Concrete activities
B0053,PROJ007,Suburban Shopping Plaza,MEP Systems,3750000.0,1187094.89,2562905.11,Within Budget,-68.34,2025-09-19,MEP Systems Contractor Inc.,14,1066073.78,"[{""month"": ""2024-01"", ""amount"": 121236.79}, {""month"": ""2024-01"", ""amount"": 99093.7}, {""month"": ""2024-03"", ""amount"": 114036.74}, {""month"": ""2024-03"", ""amount"": 169009.33}, {""month"": ""2024-04"", ""amount"": 73945.29}, {""month"": ""2024-05"", ""amount"": 142901.51}, {""month"": ""2024-06"", ""amount"": 56337.4}, {""month"": ""2024-07"", ""amount"": 94811.81}, {""month"": ""2024-08"", ""amount"": 57873.25}, {""month"": ""2024-09"", ""amount"": 74537.47}, {""month"": ""2024-10"", ""amount"": 162926.79}, {""month"": ""2024-11"", ""amount"": 60606.3}]",Medium,Budget tracking for MEP Systems activities
B0054,PROJ007,Suburban Shopping Plaza,Interior Finishes,1800000.0,1501285.48,298714.52,Within Budget,-16.6,2025-09-19,Interior Finishes Contractor Inc.,16,488184.35,"[{""month"": ""2024-01"", ""amount"": 142477.84}, {""month"": ""2024-01"", ""amount"": 80493.01}, {""month"": ""2024-03"", ""amount"": 155511.68}, {""month"": ""2024-03"", ""amount"": 210157.77}, {""month"": ""2024-04"", ""amount"": 166867.56}, {""month"": ""2024-05"", ""amount"": 117513.98}, {""month"": ""2024-06"", ""amount"": 110969.09}, {""month"": ""2024-07"", ""amount"": 189879.68}, {""month"": ""2024-08"", ""amount"": 182892.46}, {""month"": ""2024-09"", ""amount"": 182132.04}, {""month"": ""2024-10"", ""amount"": 113069.53}, {""month"": ""2024-11"", ""amount"": 162605.96}]",Medium,Budget tracking for Interior Finishes activities
B0055,PROJ007,Suburban Shopping Plaza,Exterior Finishes,750000.0,594991.3,155008.7,Within Budget,-20.67,2025-09-19,Exterior Finishes Contractor Inc.,24,93524.43,"[{""month"": ""2024-01"", ""amount"": 58677.56}, {""month"": ""2024-01"", ""amount"": 65998.76}, {""month"": ""2024-03"", ""amount"": 48972.13}, {""month"": ""2024-03"", ""amount"": 64200.54}, {""month"": ""2024-04"", ""amount"": 37050.96}, {""month"": ""2024-05"", ""amount"": 74795.26}, {""month"": ""2024-06"", ""amount"": 69504.11}, {""month"": ""2024-07"", ""amount"": 37684.41}, {""month"": ""2024-08"", ""amount"": 58079.05}, {""month"": ""2024-09"", ""amount"": 88244.64}, {""month"": ""2024-10"", ""amount"": 66817.24}, {""month"": ""2024-11"", ""amount"": 26653.8}]",Low,Budget tracking for Exterior Finishes activities
B0056,PROJ007,Suburban Shopping Plaza,Equipment,450000.0,193048.28,256951.72,Within Budget,-57.1,2025-09-19,Equipment Contractor Inc.,9,103219.26,"[{""month"": ""2024-01"", ""amount"": 27648.31}, {""month"": ""2024-01"", ""amount"": 20492.59}, {""month"": ""2024-03"", ""amount"": 17182.24}, {""month"": ""2024-03"", ""amount"": 12262.33}, {""month"": ""2024-04"", ""amount"": 10946.12}, {""month"": ""2024-05"", ""amount"": 28143.29}, {""month"": ""2024-06"", ""amount"": 12039.59}, {""month"": ""2024-07"", ""amount"": 22643.59}, {""month"": ""2024-08"", ""amount"": 25945.68}, {""month"": ""2024-09"", ""amount"": 25130.58}, {""month"": ""2024-10"", ""amount"": 12925.73}, {""month"": ""2024-11"", ""amount"": 25857.34}]",Low,Budget tracking for Equipment activities
